gdp,population,fossil_share_energy,low_carbon_share_energy,coal_share_energy,oil_share_energy,carbon_intensity_elec,greenhouse_gas_emissions,electricity_demand_per_capita,renewables_elec_per_capita,solar_share_elec,wind_share_elec,nuclear_share_elec,energy_per_gdp,renewable_share_lag_1,renewable_share_lag_2,renewable_share_lag_3,renewable_share_lag_4,renewable_share_lag_5,fossil_cons_change_pct,paris_agreement,renewable_growth,renewables_share_energy
-0.22936477069630487,-0.23602318179100323,85.209,14.791,1.075,37.915,-0.4980746305720275,-0.2621261559089151,-0.6995095608581603,-0.24443558859739775,0.0,0.034,6.945,-0.44469808257594,9.225,11.482,12.514,10.225,12.535,-1.0908389293167122,0,0.331490514905149,12.283
-0.23548426952546703,-0.2343987099170645,81.148,18.852,0.902,35.947,-0.726868463727732,-0.2681618209272301,-0.6954490648739273,-0.1887940789798075,0.0,0.055,7.832,-0.4207815484761157,12.283,9.225,11.482,12.514,10.225,-1.7862489448248977,0,0.2974029145974111,15.936
-0.250860725933745,-0.23279480760302518,81.261,18.739,0.701,35.581,-0.7579474319792758,-0.2713031102208531,-0.7091964712119795,-0.19603770478837038,0.0,0.083,6.88,-0.32199586415075515,15.936,12.283,9.225,11.482,12.514,0.1881624233549323,0,0.01957831325301207,16.248
-0.2388147676905468,-0.23123607268034563,82.592,17.408,0.797,33.856,-0.6655676416276104,-0.2655555110329577,-0.676779479233156,-0.21022747802287786,0.0,0.087,8.222,-0.35007179548533146,16.248,15.936,12.283,9.225,11.482,0.791404588449897,0,-0.11330625307730191,14.407
-0.22545039486738364,-0.2296872815618734,84.893,15.107,1.278,34.194,-0.488659228855447,-0.25632368703903496,-0.6447559980868317,-0.2363495605682212,0.0,0.07,7.85,-0.3927056171415396,14.407,16.248,15.936,12.283,9.225,1.2535133911647782,0,-0.15416117165266885,12.186
-0.2110832042242087,-0.22809457593965293,84.821,15.179,1.387,33.733,-0.4908320138669656,-0.2537036597242664,-0.6176520611260449,-0.21210344087633615,0.0,0.066,6.496,-0.4322198908716839,12.186,14.407,16.248,15.936,12.283,0.09797302208092451,0,0.04956507467585758,12.79
-0.19657378768427383,-0.22648345762734512,84.012,15.988,1.195,33.872,-0.5219281244065689,-0.2510699149890017,-0.5897290419078794,-0.18755576403059038,0.0,0.062,6.806,-0.4758935618365802,12.79,12.186,14.407,16.248,15.936,-0.25179713881399274,0,0.051602814698983535,13.45
-0.17889840227170148,-0.22490045791927918,87.113,12.887,1.659,36.113,-0.3585192634811186,-0.24508911965267136,-0.5668263601074595,-0.23655649022925637,0.0,0.053,6.387,-0.5403642189752365,13.45,12.79,12.186,14.407,16.248,1.617852463019523,0,-0.21092936802973972,10.613
-0.16971586047327136,-0.2233238336646285,87.28,12.72,1.997,36.047,-0.30458105410247405,-0.23851847523500572,-0.5392248251854876,-0.23805965339115193,0.0,0.033,6.062,-0.5788386433966929,10.613,13.45,12.79,12.186,14.407,0.2092756885033076,0,-0.015641194761142008,10.447
-0.18139118712157962,-0.22169596789260304,85.63,14.37,1.129,35.428,-0.38285702695333546,-0.241357981277713,-0.5403513377807565,-0.21754642514038522,0.0,0.033,6.687,-0.5434837669013006,10.447,10.613,13.45,12.79,12.186,-0.6288311387129565,0,0.12931942184359158,11.798
-0.15877916217099344,-0.22004746912333073,86.177,13.823,1.524,37.042,-0.30044976268017837,-0.23610420922767975,-0.5146681681672189,-0.22711549439332776,0.0,0.024,5.722,-0.6297912595224051,11.798,10.447,10.613,13.45,12.79,0.3892362854132517,0,-0.012544499067638548,11.65
-0.14406840274707397,-0.218379812275139,87.222,12.778,1.608,37.39,-0.22206236495693135,-0.23093274170062345,-0.497836357167735,-0.2435915548682871,0.0,0.023,4.942,-0.6713852318699254,11.65,11.798,10.447,10.613,13.45,0.620210067827488,0,-0.06317596566523609,10.914
